submission_date,state,tot_cases,new_case,tot_death,new_death
2021-02-11,NC,810466,4568.0,10294,113.0
2021-02-11,MI,626477,1507.0,16019,80.0
2021-02-11,NM,179323,533.0,3479,18.0
2021-02-11,LA,417415,2728.0,9239,27.0
2021-02-11,CT,266499,1003.0,7354,28.0
2021-02-11,DE,81875,414.0,1262,17.0
2021-02-11,TX,2529343,11890.0,39771,385.0
2021-02-11,VT,13249,127.0,188,1.0
2021-02-11,IN,645006,1701.0,12028,27.0
2021-02-11,OK,413641,1322.0,3969,11.0
2021-02-11,AL,477570,1503.0,9021,133.0
2021-02-11,KY,384903,1871.0,4211,36.0
2021-02-11,ID,166876,323.0,1791,0.0
2021-02-11,TN,752033,1624.0,10812,81.0
2021-02-11,PR,96924,288.0,1907,5.0
2021-02-11,PA,884269,3978.0,22860,115.0
2021-02-11,MO,470107,884.0,7442,11.0
2021-02-11,IL,1155833,2838.0,21985,116.0
2021-02-11,GA,955085,4179.0,15513,92.0
2021-02-11,NY,859076,4906.0,17153,69.0
2021-02-11,CA,3371556,8575.0,45456,461.0
2021-02-11,MN,470803,898.0,6411,24.0
2021-02-11,MA,533154,2213.0,15172,61.0
2021-02-11,WV,126420,469.0,2187,12.0
2021-02-11,ND,98466,113.0,1431,1.0
2021-02-11,NV,286387,592.0,4637,55.0
2021-02-11,AK,54134,143.0,278,0.0
2021-02-11,RI,120381,488.0,2274,15.0
2021-02-11,NH,69612,365.0,1117,1.0
2021-02-11,PW,0,0.0,0,0.0
2021-02-11,OH,931437,2806.0,12577,721.0
2021-02-11,AR,311043,1103.0,5199,25.0
2021-02-11,MT,96842,247.0,1320,0.0
2021-02-11,FL,1774013,8354.0,28382,174.0
2021-02-11,MP,134,1.0,2,0.0
2021-02-11,VA,544209,3191.0,6966,8.0
2021-02-11,FSM,1,0.0,0,0.0
2021-02-11,NE,195441,809.0,2002,16.0
2021-02-11,AS,3,0.0,0,0.0
2021-02-11,IA,327426,853.0,5196,22.0
2021-02-11,RMI,4,0.0,0,0.0
2021-02-11,SC,476287,3147.0,7837,95.0
2021-02-11,AZ,791106,1861.0,14662,200.0
2021-02-11,GU,7689,3.0,130,0.0
2021-02-11,CO,409683,1722.0,5781,11.0
2021-02-11,VI,2524,19.0,25,0.0
2021-02-11,WI,604683,1428.0,6723,18.0
2021-02-11,WY,52979,105.0,647,0.0
2021-02-11,UT,358581,1242.0,1774,9.0
2021-02-11,HI,25905,84.0,421,1.0
2021-02-11,ME,42259,201.0,643,2.0
2021-02-11,NJ,736330,3656.0,22329,79.0
2021-02-11,MS,285648,984.0,6429,39.0
2021-02-11,MD,368977,1112.0,7503,36.0
2021-02-11,OR,149082,607.0,2056,12.0
2021-02-11,KS,284894,0.0,4303,0.0
2021-02-11,SD,109859,279.0,1829,14.0
2021-02-11,WA,326159,1453.0,4633,30.0
2021-02-11,DC,38533,185.0,973,8.0
2021-02-11,NYC,661248,4509.0,28096,74.0
2021-02-10,FL,1765659,7405.0,28208,160.0
2021-02-10,WY,52874,44.0,647,0.0
2021-02-10,OR,148475,543.0,2044,13.0
2021-02-10,VA,541018,3699.0,6958,26.0
2021-02-10,IA,326573,990.0,5174,29.0
2021-02-10,TX,2517453,12897.0,39386,385.0
2021-02-10,MD,367865,1199.0,7467,21.0
2021-02-10,VI,2505,20.0,25,1.0
2021-02-10,RI,119893,459.0,2259,11.0
